1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4650107876,1171432552,895755500,738275686,626315044,532490452,475874618,417329656,412123876,409258946,394597742,383130492,384982188,376821666,394280142,382113066
62001438.3466667,15619100.6933333,11943406.6666667,9843675.81333333,8350867.25333333,7099872.69333333,6344994.90666667,5564395.41333333,5494985.01333333,5456785.94666667,5261303.22666667,5108406.56,5133095.84,5024288.88,5257068.56,5094840.88
